reason,super_reasons,museum_id
building - building destroyed,building demolished,mm.domus.YH056
staff - insufficient staff - no volunteers; building - condition of building,too few volunteers; leaking roof,mm.wiki.464
other,changed offer,mm.domus.WA010
building - condition of building,condition of building,mm.domus.NI026
restructure of host organisation - merger of fire services; loss of premises - sold,merger of fire services; building sold,mm.domus.SW153
building - condition of building; low visitor numbers; loss of premises - legal - lease expired,condition of building; too few visitors; lease expired,mm.wiki.354
building - condition of building,condition of building?,mm.misc.075
loss of premises,loss of premises,mm.domus.WA051
,site repurposed,mm.New.254
financial - costs - low revenue,insufficient revenue,mm.wiki.027
building - building ownership changed; loss of premises,building ownership changed; loss of premises,mm.wiki.391
life events - death - death of owner,death of owner?,mm.musa.057
building - condition of building,condition of building,mm.domus.WA028
staff - insufficient staff; building - unsuitable,insufficient staff; premises unsuitable,mm.ace.1167
building,building problems,mm.wiki.210
loss of premises - change of use - space repurposed,repurposing of space,mm.domus.NW054
financial - funding cut - local authority funding cut; low visitor numbers,local authority funding cut; low visitor numbers,mm.domus.WA011
strategic closure - amalgamation; loss of premises - change of use,amalgamation; premises repurposed,mm.domus.SC263
life events - death - death of owner,death of owner,mm.musa.220
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SC016
financial - costs - unsustainable,financially unviable,mm.aim82NM.038
restructure of host organisation - local authority reorganisation,local authority reorganisation,mm.domus.SC161
financial - funding cut - local authority funding cut,local authority funding cuts,mm.mald.069
loss of premises - legal - lease expired; financial - costs - building costs,lease expired; costs of building too high,mm.domus.SC150
life events - death - death of owner,death of owner,mm.musa.214
life events - death - death of owner; financial - costs - unsustainable; low visitor numbers,death of owner; financially unviable; too few visitors,mm.wiki.270
life events - death - death of owner,death of owner,mm.New.298
loss of premises,loss of premises,mm.fcm.013
loss of premises - legal - lease expired; loss of premises,lease expired; loss of premises,mm.domus.SW005
unknown,unknown,mm.misc.065
financial - costs - unsustainable; financial - costs - deficit; financial - funding cut - local authority funding cut,financially unviable; ran a deficit; local authority funding cut,mm.domus.SE404
financial - funding cut - local authority funding cut,local authority funding cut,mm.ace.1179
financial - costs - unsustainable; low visitor numbers,unsustainable costs; too few visitors,mm.musa.138
loss of premises - change of use,premises repurposed,mm.domus.SE429
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.New.302
loss of premises - change of use,premises repurposed,mm.domus.SE062
financial - costs - unsustainable,unsustainable costs,mm.aim.1047
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.misc.020
building - condition of building - deterioration,deterioration of building,mm.wiki.286
